from,to,from.num.id,to.num.id,from.node.label,from.nodetype.label,from.node.type,to.node.label,to.nodetype.label,to.node.type,edgetype.label,edge.type
s01,sp01,1,2,Decomposition,decomp,1,Human Decomposition,human,2,decomp -> human,1
sp01,d01,2,3,Human Decomposition,human,2,Sandi's longitudinal study,slongi,3,human -> sandilong,2
d01,c01,3,4,Sandi's longitudinal study,slongi,3,"(1E)-buta-1,3-dien-1-ol",Alcohol,4,sandilong -> alcohol,3
d01,c02,3,5,Sandi's longitudinal study,slongi,3,(E)-pent-2-en-1-ol,Alcohol,4,sandilong -> alcohol,3
d01,c03,3,6,Sandi's longitudinal study,slongi,3,2-ethylhexan-1-ol,Alcohol,4,sandilong -> alcohol,3
d01,c04,3,7,Sandi's longitudinal study,slongi,3,2-methylpropan-1-ol,Alcohol,4,sandilong -> alcohol,3
d01,c05,3,8,Sandi's longitudinal study,slongi,3,3-methylbutan-1-ol,Alcohol,4,sandilong -> alcohol,3
d01,c06,3,9,Sandi's longitudinal study,slongi,3,butan-1-ol,Alcohol,4,sandilong -> alcohol,3
d01,c07,3,10,Sandi's longitudinal study,slongi,3,butan-2-ol,Alcohol,4,sandilong -> alcohol,3
d01,c08,3,11,Sandi's longitudinal study,slongi,3,ethanol,Alcohol,4,sandilong -> alcohol,3
d01,c09,3,12,Sandi's longitudinal study,slongi,3,hept-1-en-3-ol,Alcohol,4,sandilong -> alcohol,3
d01,c10,3,13,Sandi's longitudinal study,slongi,3,"hexa-1,5-dien-3-ol",Alcohol,4,sandilong -> alcohol,3
d01,c11,3,14,Sandi's longitudinal study,slongi,3,hexan-1-ol,Alcohol,4,sandilong -> alcohol,3
d01,c12,3,15,Sandi's longitudinal study,slongi,3,pent-4-en-2-ol,Alcohol,4,sandilong -> alcohol,3
d01,c13,3,16,Sandi's longitudinal study,slongi,3,pentan-1-ol,Alcohol,4,sandilong -> alcohol,3
d01,c14,3,17,Sandi's longitudinal study,slongi,3,pentan-2-ol,Alcohol,4,sandilong -> alcohol,3
d01,c15,3,18,Sandi's longitudinal study,slongi,3,prop-2-en-1-ol,Alcohol,4,sandilong -> alcohol,3
d01,c16,3,19,Sandi's longitudinal study,slongi,3,propan-1-ol,Alcohol,4,sandilong -> alcohol,3
d01,c17,3,20,Sandi's longitudinal study,slongi,3,"propane-1,2,3-triol",Alcohol,4,sandilong -> alcohol,3
d01,c18,3,21,Sandi's longitudinal study,slongi,3,(E)-hept-2-enal,Aldehyde,5,sandilong -> aldehyde,4
d01,c19,3,22,Sandi's longitudinal study,slongi,3,"1,4-dioxane-2,5-diol",Aldehyde,5,sandilong -> aldehyde,4
d01,c20,3,23,Sandi's longitudinal study,slongi,3,2-hydroxyacetaldehyde,Aldehyde,5,sandilong -> aldehyde,4
d01,c21,3,24,Sandi's longitudinal study,slongi,3,2-methylbutanal,Aldehyde,5,sandilong -> aldehyde,4
d01,c22,3,25,Sandi's longitudinal study,slongi,3,2-methylprop-2-enal,Aldehyde,5,sandilong -> aldehyde,4
d01,c23,3,26,Sandi's longitudinal study,slongi,3,2-methylpropanal,Aldehyde,5,sandilong -> aldehyde,4
d01,c24,3,27,Sandi's longitudinal study,slongi,3,3-methylbutanal,Aldehyde,5,sandilong -> aldehyde,4
d01,c25,3,28,Sandi's longitudinal study,slongi,3,acetaldehyde,Aldehyde,5,sandilong -> aldehyde,4
d01,c26,3,29,Sandi's longitudinal study,slongi,3,benzaldehyde,Aldehyde,5,sandilong -> aldehyde,4
d01,c27,3,30,Sandi's longitudinal study,slongi,3,decanal,Aldehyde,5,sandilong -> aldehyde,4
d01,c28,3,31,Sandi's longitudinal study,slongi,3,dimethoxymethane,Aldehyde,5,sandilong -> aldehyde,4
d01,c29,3,32,Sandi's longitudinal study,slongi,3,formaldehyde,Aldehyde,5,sandilong -> aldehyde,4
d01,c30,3,33,Sandi's longitudinal study,slongi,3,heptanal,Aldehyde,5,sandilong -> aldehyde,4
d01,c31,3,34,Sandi's longitudinal study,slongi,3,hexanal,Aldehyde,5,sandilong -> aldehyde,4
d01,c32,3,35,Sandi's longitudinal study,slongi,3,nonanal,Aldehyde,5,sandilong -> aldehyde,4
d01,c33,3,36,Sandi's longitudinal study,slongi,3,octanal,Aldehyde,5,sandilong -> aldehyde,4
d01,c34,3,37,Sandi's longitudinal study,slongi,3,pentanal,Aldehyde,5,sandilong -> aldehyde,4
d01,c35,3,38,Sandi's longitudinal study,slongi,3,prop-2-enal,Aldehyde,5,sandilong -> aldehyde,4
d01,c36,3,39,Sandi's longitudinal study,slongi,3,propanal,Aldehyde,5,sandilong -> aldehyde,4
d01,c37,3,40,Sandi's longitudinal study,slongi,3,"2,2,3,3-tetramethylbutane",Alkane,6,sandilong -> alkane,5
d01,c38,3,41,Sandi's longitudinal study,slongi,3,"2,2-dimethoxybutane",Alkane,6,sandilong -> alkane,5
d01,c39,3,42,Sandi's longitudinal study,slongi,3,"2,2-dimethylhexane",Alkane,6,sandilong -> alkane,5
d01,c40,3,43,Sandi's longitudinal study,slongi,3,"2,2-dimethylpropane",Alkane,6,sandilong -> alkane,5
