id,num.id,node.label,nodetype.label,node.type,node.size,reference.link,node.colour,pubchemID,InChIKey,molecular.formula,SMILES,InChI,exact.mass,visible.label,group,,,
s01,1,Decomposition,decomp,1,100,https://locardslab.com/2019/05/29/the-smell-of-death-confirming-decomposition-using-volatiles-in-the-air/,#1D3861,NA,NA,NA,NA,NA,NA,Decomposition,type,,,#N/A
sp01,2,Human Decomposition,human,2,60,"https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/homo-sapiens#:~:text=Homo%20sapiens%20evolved%20in%20Africa,waves%20of%20migrations%20of%20H.",#305094,NA,NA,NA,NA,NA,NA,Human Decomposition,species,,,2
d01,3,Sandi's longitudinal study,slongi,3,40,https://i.guim.co.uk/img/media/d373d865634c296c800cdce9a29e59930fd4e4b2/0_145_2000_1200/master/2000.jpg?width=620&dpr=2&s=none,#606FB3,NA,NA,NA,NA,NA,NA,Sandi's longitudinal study,study,,,3
c01,4,"(1E)-buta-1,3-dien-1-ol",Alcohol,4,5,https://pubchem.ncbi.nlm.nih.gov/compound/173173,#f8766d,173173,LNDKRVOOYMEYTC-ONEGZZNKSA-N,C4H6O,C=CC=CO,"InChI=1S/C4H6O/c1-2-3-4-5/h2-5H,1H2/b4-3+",70.04186481,NA,compound,,,4
c02,5,(E)-pent-2-en-1-ol,Alcohol,4,5,https://pubchem.ncbi.nlm.nih.gov/compound/5364920,#f8766d,5364920,BTSIZIIPFNVMHF-ONEGZZNKSA-N,C5H10O,CCC=CCO,"InChI=1S/C5H10O/c1-2-3-4-5-6/h3-4,6H,2,5H2,1H3/b4-3+",86.07316494,NA,compound,,,5
c03,6,2-ethylhexan-1-ol,Alcohol,4,5,https://pubchem.ncbi.nlm.nih.gov/compound/7720,#f8766d,7720,YIWUKEYIRIRTPP-UHFFFAOYSA-N,C8H18O,CCCCC(CC)CO,"InChI=1S/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3",130.1357652,NA,compound,,,6
c04,7,2-methylpropan-1-ol,Alcohol,4,5,https://pubchem.ncbi.nlm.nih.gov/compound/6560,#f8766d,6560,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,C4H10O,CC(C)CO,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",74.07316494,NA,compound,,,7
c05,8,3-methylbutan-1-ol,Alcohol,4,5,https://pubchem.ncbi.nlm.nih.gov/compound/31260,#f8766d,31260,PHTQWCKDNZKARW-UHFFFAOYSA-N,C5H12O,CC(C)CCO,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",88.088815,NA,compound,,,8
c06,9,butan-1-ol,Alcohol,4,5,https://pubchem.ncbi.nlm.nih.gov/compound/263,#f8766d,263,LRHPLDYGYMQRHN-UHFFFAOYSA-N,C4H10O,CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",74.07316494,NA,compound,,,9
c07,10,butan-2-ol,Alcohol,4,5,https://pubchem.ncbi.nlm.nih.gov/compound/6568,#f8766d,6568,BTANRVKWQNVYAZ-UHFFFAOYSA-N,C4H10O,CCC(C)O,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",74.07316494,NA,compound,,,10
c08,11,ethanol,Alcohol,4,5,https://pubchem.ncbi.nlm.nih.gov/compound/702,#f8766d,702,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,C2H6O,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",46.04186481,NA,compound,,,11
c09,12,hept-1-en-3-ol,Alcohol,4,5,https://pubchem.ncbi.nlm.nih.gov/compound/21057,#f8766d,21057,PZKFYTOLVRCMOA-UHFFFAOYSA-N,C7H14O,CCCCC(C=C)O,"InChI=1S/C7H14O/c1-3-5-6-7(8)4-2/h4,7-8H,2-3,5-6H2,1H3",114.1044651,NA,compound,,,12
c10,13,"hexa-1,5-dien-3-ol",Alcohol,4,5,https://pubchem.ncbi.nlm.nih.gov/compound/79122,#f8766d,79122,SZYLTIUVWARXOO-UHFFFAOYSA-N,C6H10O,C=CCC(C=C)O,"InChI=1S/C6H10O/c1-3-5-6(7)4-2/h3-4,6-7H,1-2,5H2",98.07316494,NA,compound,,,13
